0, 74000, '2012-10-9', 'P0AJFQRN62F72NIGZ', '819896206', '0'
1, 50000, '2016-5-19', '5GMSP140A1J7OXFNK', '307937955', '1'
2, 15000, '2011-8-30', '49P9WSK1L4EABBNSD', '843515991', '2'
3, 79000, '2016-8-10', 'ZSW5BX0NNAKZ0FZEX', '803406154', '3'
4, 98000, '2017-7-21', '3KZBUYCD1LVZVM14N', '137814500', '4'
5, 20000, '2015-4-17', 'JL2D8IE0GOVLAXHJ7', '526954755', '5'
6, 83000, '2013-7-24', 'SR5SYKZUYD5Y05IFN', '990684156', '6'
7, 65000, '2013-6-4', 'VQA94FKYK6ABQZE92', '794721373', '7'
8, 75000, '2017-6-15', 'VJP2C0DYOGQMSNPEQ', '890568936', '8'
9, 25000, '2013-5-9', 'IRLEG8H6BXCX27JW2', '819896206', '9'
10, 92000, '2015-10-17', 'G1A9RBC1IP9TJCH1A', '429688588', '10'
11, 82000, '2017-11-23', 'JQBII7QPX5JYVAGB3', '890568936', '11'
12, 46000, '2017-2-23', 'PTUSBK35SGZTFMQ27', '137814500', '12'
13, 38000, '2010-9-16', 'WZ4LE6ZNMIQAYOEIS', '990684156', '13'
14, 49000, '2010-7-13', 'DLLRBRJI3TX4IHM4N', '887521891', '14'
15, 23000, '2014-8-3', 'JLT8BF56G1S4185TG', '505487062', '15'
16, 82000, '2012-2-7', '17Z9DZAYQOAVMYGWK', '794721373', '16'
17, 50000, '2010-4-6', '8Y6IR9XZK0G09MKYD', '942765445', '17'
18, 17000, '2016-6-12', 'PL22YHA0RCSQLW4HN', '785531518', '18'
19, 35000, '2017-3-6', 'WTMVU4T11L6CYAWZ1', '896155800', '19'
20, 29000, '2017-6-11', 'YHWC6YKD2D9VJMI1I', '803406154', '20'
21, 67000, '2010-7-13', 'H2AGAF90NTEV21BNV', '126549478', '21'
22, 82000, '2014-6-8', '25IM2SIQWWYX6FH4X', '429688588', '22'
23, 10000, '2010-5-28', 'DWUUMG3GOQTGLBQWU', '246184550', '23'
24, 60000, '2011-1-16', '3KDAN1Y5JV38382Y4', '990684156', '24'
